data_rod,data_prev,dia_prev,sem_prev,tsfc,magv,ur2m,Tx_Mod,Tx_Obs,P90cl_Tx_Mod,P90cl_Tx_Obs,Cl_Tx_Mod,Cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20130915,20131101,47,7,28.011566,3.6947074,78.02136,28.22256,24.56229,33.4183,29.93808,28.47231236,26.20187118,0,0,0,0
20130915,20131102,48,7,28.026215,4.490689,74.805176,29.21704,26.26468,31.44449,29.56668,27.38147255,25.98157818,0,0,0,0
20130915,20131103,49,7,29.848938,4.164484,65.473564,32.21896,28.78201,31.84183,31.04578,26.85572955,27.94621118,1,0,0,0
20130915,20131104,50,8,29.731323,4.568138,59.287262,31.14221,28.16952,31.14221,31.09802,27.26936764,26.66333291,1,0,0,0
20130915,20131105,51,8,25.528168,2.0036728,84.45587,25.30121,24.19211,30.55637,29.25061,27.501759,25.876032,0,0,0,0
20130915,20131106,52,8,26.582916,3.4442763,85.714325,27.72806,21.7615,29.3045,26.00964,27.69604464,24.47526136,0,0,0,0
20130915,20131107,53,8,27.621521,3.0108552,76.98237,31.0145,21.84848,30.82645,27.4968,27.43131055,25.09972018,1,0,0,0
20130915,20131108,54,8,29.060242,2.358766,69.14165,30.40402,24.36096,31.51755,28.68063,26.960616,25.79644518,0,0,0,0
20130915,20131109,55,8,28.483063,2.5384111,74.88956,28.08392,26.1105,30.35251,29.55286,27.06216145,26.58706927,0,0,0,0
20130915,20131110,56,8,26.735382,2.9495254,79.622955,26.44284,27.28186,30.67996,30.86642,26.78338609,27.47243709,0,0,0,0
20130915,20131111,57,9,27.857025,2.4095874,76.0563,30.11404,31.95181,30.06638,31.76419,26.65807809,27.67608909,1,0,1,0
20130915,20131112,58,9,26.649292,4.3848777,70.15645,30.17718,35.89139,30.17719,33.8436,27.58699736,28.01749773,0,0,1,0
20130915,20131113,59,9,23.794098,3.7825983,85.74421,22.3465,26.78299,28.76901,30.9917,26.02601209,27.14295827,0,0,0,0
20140915,20141101,47,7,23.27652,3.9418426,75.02622,24.20184,31.74152,33.4183,29.93808,28.47231236,26.20187118,0,0,1,0
20140915,20141102,48,7,23.55423,4.205102,76.49206,24.93143,29.56668,31.44449,29.56668,27.38147255,25.98157818,0,0,1,0
20140915,20141103,49,7,25.911346,4.1257324,72.30647,27.65991,29.85736,31.84183,31.04578,26.85572955,27.94621118,0,0,0,0
20140915,20141104,50,8,26.519867,5.2620106,70.42339,27.93314,31.09802,31.14221,31.09802,27.26936764,26.66333291,0,0,1,1
