data_prev,Tx_Mod,P90cl_Tx_Mod,Tx_Obs,P90cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20131101,28.22256,33.4183,24.56229,29.93808,0,0,0,0
20131102,29.21704,31.44449,26.26468,29.56668,0,0,0,0
20131103,32.21896,31.84183,28.78201,31.04578,1,0,0,0
20131104,31.14221,31.14221,28.16952,31.09802,1,0,0,0
20131105,25.30121,30.55637,24.19211,29.25061,0,0,0,0
20131106,27.72806,29.3045,21.7615,26.00964,0,0,0,0
20131107,31.0145,30.82645,21.84848,27.4968,1,0,0,0
20131108,30.40402,31.51755,24.36096,28.68063,0,0,0,0
20131109,28.08392,30.35251,26.1105,29.55286,0,0,0,0
20131110,26.44284,30.67996,27.28186,30.86642,0,0,0,0
20131111,30.11404,30.06638,31.95181,31.76419,1,0,1,0
20131112,30.17718,30.17719,35.89139,33.8436,0,0,1,0
20131113,22.3465,28.76901,26.78299,30.9917,0,0,0,0
20141101,24.20184,33.4183,31.74152,29.93808,0,0,1,0
20141102,24.93143,31.44449,29.56668,29.56668,0,0,1,0
20141103,27.65991,31.84183,29.85736,31.04578,0,0,0,0
20141104,27.93314,31.14221,31.09802,31.09802,0,0,1,1
20141105,26.68424,30.55637,29.25061,29.25061,0,0,1,1
20141106,25.5705,29.3045,26.55344,26.00964,0,0,1,1
20141107,21.66788,30.82645,31.1752,27.4968,0,0,1,1
20141108,23.5914,31.51755,30.06909,28.68063,0,0,1,1
20141109,25.12225,30.35251,25.11374,29.55286,0,0,0,0
20141110,25.45493,30.67996,26.11041,30.86642,0,0,0,0
20141111,25.32611,30.06638,26.46817,31.76419,0,0,0,0
20141112,25.4985,30.17719,29.30283,33.8436,0,0,0,0
20141113,27.3244,28.76901,30.9917,30.9917,0,0,1,0
20141101,33.23471,33.47324,31.74152,29.93808,0,0,1,0
20141102,32.70065,31.72999,29.56668,29.56668,1,0,1,0
20141103,28.21213,29.47561,29.85736,31.04578,0,0,0,0
20141104,26.30252,28.64292,31.09802,31.09802,0,0,1,1
20141105,24.39783,29.11224,29.25061,29.25061,0,0,1,1
20141106,33.46493,34.33541,26.55344,26.00964,0,0,1,1
20141107,24.12418,32.3113,31.1752,27.4968,0,0,1,1
20141108,24.02115,30.50456,30.06909,28.68063,0,0,1,1
20141109,22.87601,30.7088,25.11374,29.55286,0,0,0,0
20141110,22.49332,30.47737,26.11041,30.86642,0,0,0,0
20141111,22.88333,29.84163,26.46817,31.76419,0,0,0,0
20141112,26.92197,30.10089,29.30283,33.8436,0,0,0,0
20141113,23.78467,29.85751,30.9917,30.9917,0,0,1,0
20141114,25.18643,31.11983,24.56561,32.62369,0,0,0,0
20141115,24.43393,30.09393,22.27182,30.92581,0,0,0,0
20141116,27.92362,32.85398,24.52121,33.84396,0,0,0,0
20141117,27.40302,31.40659,24.77332,30.40292,0,0,0,0
20141118,29.07407,31.21523,25.77924,32.42886,0,0,0,0
20141119,27.77622,31.21746,27.97617,30.48514,0,0,0,0
20141120,27.28592,30.502,28.98569,30.51505,0,0,0,0
20141121,28.5864,29.38523,30.41208,30.41208,0,0,1,0
20141122,29.64938,31.82162,32.47794,32.47794,0,0,1,0
20141123,31.9639,32.28058,26.24759,30.41776,0,0,0,0
20141124,29.45999,31.33324,26.4697,26.7998,0,0,0,0
20141125,28.0119,29.71567,29.50491,29.03455,0,0,1,0
20141126,28.02139,28.50792,29.98764,29.98764,0,0,1,0
20141127,29.81439,31.3216,26.20886,29.71011,0,0,0,0
20141128,31.26346,31.45726,25.44894,30.43436,0,0,0,0
20141129,32.12891,32.74563,25.60519,30.60831,0,0,0,0
20141130,31.6243,31.71116,25.83398,30.54123,0,0,0,0
20151101,25.53677,33.4183,28.17426,29.93808,0,0,0,0
20151102,27.6842,31.44449,25.95608,29.56668,0,0,0,0
20151103,28.35098,31.84183,27.22378,31.04578,0,0,0,0
20151104,28.98569,31.14221,27.98801,31.09802,0,0,0,0
20151105,27.64911,30.55637,26.64328,29.25061,0,0,0,0
20151106,27.74179,29.3045,26.00964,26.00964,0,0,1,0
20151107,26.14468,30.82645,24.75418,27.4968,0,0,0,0
20151108,24.00796,31.51755,26.12088,28.68063,0,0,0,0
20151109,22.25632,30.35251,26.9783,29.55286,0,0,0,0
20151110,22.7933,30.67996,28.97665,30.86642,0,0,0,0
20151111,24.96902,30.06638,30.14371,31.76419,0,0,0,0
20151112,25.30032,30.17719,27.38962,33.8436,0,0,0,0
20151113,25.82785,28.76901,27.5416,30.9917,0,0,0,0
