data_rod,data_prev,dia_prev,sem_prev,tsfc,magv,ur2m,Tx_Mod,Tx_Obs,P90cl_Tx_Mod,P90cl_Tx_Obs,Cl_Tx_Mod,Cl_Tx_Obs,OC_Candid,IOC_Mod,IOC_Obs
20130915,20131101,47,7,28.011566,3.6947074,78.02136,28.222565,24.562286,33.41830444,29.93807983,28.47231236,26.20187118,0,0,0
20130915,20131102,48,7,28.026215,4.490689,74.805176,29.217041,26.264679,31.44448853,29.56668091,27.38147255,25.98157818,0,0,0
20130915,20131103,49,7,29.848938,4.164484,65.473564,32.218964,28.782013,31.84182739,31.04577637,26.85572955,27.94621118,1,0,0
20130915,20131104,50,8,29.731323,4.568138,59.287262,31.142212,28.169525,31.14221191,31.09802246,27.26936764,26.66333291,1,0,0
20130915,20131105,51,8,25.528168,2.0036728,84.45587,25.301208,24.192108,30.55636597,29.25061035,27.501759,25.876032,0,0,0
20130915,20131106,52,8,26.582916,3.4442763,85.714325,27.728058,21.761505,29.30450439,26.00964355,27.69604464,24.47526136,0,0,0
20130915,20131107,53,8,27.621521,3.0108552,76.98237,31.014496,21.84848,30.82644653,27.49679565,27.43131055,25.09972018,1,0,0
20130915,20131108,54,8,29.060242,2.358766,69.14165,30.404022,24.360962,31.51754761,28.68063354,26.960616,25.79644518,0,0,0
20130915,20131109,55,8,28.483063,2.5384111,74.88956,28.083923,26.110504,30.35250854,29.55285645,27.06216145,26.58706927,0,0,0
20130915,20131110,56,8,26.735382,2.9495254,79.622955,26.44284,27.28186,30.67996216,30.86642456,26.78338609,27.47243709,0,0,0
20130915,20131111,57,9,27.857025,2.4095874,76.0563,30.114044,31.951813,30.06637573,31.76419067,26.65807809,27.67608909,1,0,0
20130915,20131112,58,9,26.649292,4.3848777,70.15645,30.177185,35.891388,30.17718506,33.84359741,27.58699736,28.01749773,0,0,0
20130915,20131113,59,9,23.794098,3.7825983,85.74421,22.346497,26.78299,28.76901245,30.99169922,26.02601209,27.14295827,0,0,0
20140915,20141101,47,7,23.27652,3.9418426,75.02622,24.201843,31.741516,33.41830444,29.93807983,28.47231236,26.20187118,0,0,0
20140915,20141102,48,7,23.55423,4.205102,76.49206,24.931427,29.56668,31.44448853,29.56668091,27.38147255,25.98157818,0,0,0
20140915,20141103,49,7,25.911346,4.1257324,72.30647,27.659912,29.85736,31.84182739,31.04577637,26.85572955,27.94621118,0,0,0
20140915,20141104,50,8,26.519867,5.2620106,70.42339,27.933136,31.098022,31.14221191,31.09802246,27.26936764,26.66333291,0,0,1
20140915,20141105,51,8,26.036072,5.5245914,77.43031,26.684235,29.25061,30.55636597,29.25061035,27.501759,25.876032,0,0,1
20140915,20141106,52,8,25.927063,5.567305,81.775826,25.570496,26.553436,29.30450439,26.00964355,27.69604464,24.47526136,0,0,1
20140915,20141107,53,8,21.819122,4.509186,86.459984,21.667877,31.175201,30.82644653,27.49679565,27.43131055,25.09972018,0,0,1
20140915,20141108,54,8,23.588257,4.812606,85.148964,23.5914,30.069092,31.51754761,28.68063354,26.960616,25.79644518,0,0,1
20140915,20141109,55,8,25.042084,4.7282753,79.06116,25.122253,25.113739,30.35250854,29.55285645,27.06216145,26.58706927,0,0,0
20140915,20141110,56,8,24.943298,3.8854687,77.27763,25.454926,26.110413,30.67996216,30.86642456,26.78338609,27.47243709,0,0,0
20140915,20141111,57,9,24.944946,4.0334535,77.40244,25.32611,26.46817,30.06637573,31.76419067,26.65807809,27.67608909,0,0,0
20140915,20141112,58,9,24.975769,4.2799964,75.61962,25.498505,29.302826,30.17718506,33.84359741,27.58699736,28.01749773,0,0,0
20140915,20141113,59,9,25.923767,4.487297,72.807594,27.324402,30.9917,28.76901245,30.99169922,26.02601209,27.14295827,0,0,0
20141015,20141101,17,3,31.701508,3.1593628,68.95527,33.23471,31.741516,33.47324219,29.93807983,29.9500465,26.20187118,0,0,0
20141015,20141102,18,3,33.13272,4.466681,54.522167,32.700653,29.56668,31.72999268,29.56668091,28.44996638,25.98157818,1,0,0
20141015,20141103,19,3,31.697876,3.2025506,66.21151,28.212128,29.85736,29.47561035,31.04577637,26.47648625,27.94621118,0,0,0
