data_rod,data_prev,dia_prev,sem_prev,tsfc,magv,ur2m,Tx_Mod,Tx_Obs,P90cl_Tx_Mod,P90cl_Tx_Obs,Cl_Tx_Mod,Cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20130915,20131101,47,7,28.011566,3.694707,78.02136,28.222565,24.562286,33.418304,29.93808,28.472312,26.201871,0,0,0,0
20130915,20131102,48,7,28.026215,4.490689,74.805176,29.217041,26.264679,31.444489,29.566681,27.381473,25.981578,0,0,0,0
20130915,20131103,49,7,29.848938,4.164484,65.473564,32.218964,28.782013,31.841827,31.045776,26.85573,27.946211,1,0,0,0
20130915,20131104,50,8,29.731323,4.568138,59.287262,31.142212,28.169525,31.142212,31.098022,27.269368,26.663333,1,0,0,0
20130915,20131105,51,8,25.528168,2.003673,84.45587,25.301208,24.192108,30.556366,29.25061,27.501759,25.876032,0,0,0,0
20130915,20131106,52,8,26.582916,3.444276,85.714325,27.728058,21.761505,29.304504,26.009644,27.696045,24.475261,0,0,0,0
20130915,20131107,53,8,27.621521,3.010855,76.98237,31.014496,21.84848,30.826447,27.496796,27.431311,25.09972,1,0,0,0
20130915,20131108,54,8,29.060242,2.358766,69.14165,30.404022,24.360962,31.517548,28.680634,26.960616,25.796445,0,0,0,0
20130915,20131109,55,8,28.483063,2.538411,74.88956,28.083923,26.110504,30.352509,29.552856,27.062161,26.587069,0,0,0,0
20130915,20131110,56,8,26.735382,2.949525,79.622955,26.44284,27.28186,30.679962,30.866425,26.783386,27.472437,0,0,0,0
20130915,20131111,57,9,27.857025,2.409587,76.0563,30.114044,31.951813,30.066376,31.764191,26.658078,27.676089,1,0,1,0
20130915,20131112,58,9,26.649292,4.384878,70.15645,30.177185,35.891388,30.177185,33.843597,27.586997,28.017498,1,0,1,0
20130915,20131113,59,9,23.794098,3.782598,85.74421,22.346497,26.78299,28.769012,30.991699,26.026012,27.142958,0,0,0,0
20140915,20141101,47,7,23.27652,3.941843,75.02622,24.201843,31.741516,33.418304,29.93808,28.472312,26.201871,0,0,1,0
20140915,20141102,48,7,23.55423,4.205102,76.49206,24.931427,29.56668,31.444489,29.566681,27.381473,25.981578,0,0,0,0
20140915,20141103,49,7,25.911346,4.125732,72.30647,27.659912,29.85736,31.841827,31.045776,26.85573,27.946211,0,0,0,0
20140915,20141104,50,8,26.519867,5.262011,70.42339,27.933136,31.098022,31.142212,31.098022,27.269368,26.663333,0,0,1,1
