version,split,features,balance,sem_prev,best_model,mae,rmse,corr
5,70_30,ALL,No,Yes,RF,1.7719,2.3744,0.7125
6,70_30,ALL,No,No,RF,1.7719,2.3744,0.7125
7,70_30,ALL,Yes,Yes,RF,1.7719,2.3744,0.7125
8,70_30,ALL,Yes,No,RF,1.7719,2.3744,0.7125
13,70_30,AD HOC,No,Yes,RF,1.802,2.4089,0.7013
14,70_30,AD HOC,No,No,RF,1.802,2.4089,0.7013
15,70_30,AD HOC,Yes,Yes,RF,1.802,2.4089,0.7013
16,70_30,AD HOC,Yes,No,RF,1.802,2.4089,0.7013
29,70_30,POSIT_CORR+SEM_PREV,No,Yes,RF,1.9418,2.5249,0.6615
30,70_30,POSIT_CORR+SEM_PREV,No,No,RF,1.9418,2.5249,0.6615
31,70_30,POSIT_CORR+SEM_PREV,Yes,Yes,RF,1.9418,2.5249,0.6615
32,70_30,POSIT_CORR+SEM_PREV,Yes,No,RF,1.9418,2.5249,0.6615
21,70_30,POSIT_CORR,No,Yes,RF,1.9654,2.5325,0.66
22,70_30,POSIT_CORR,No,No,RF,1.9654,2.5325,0.66
23,70_30,POSIT_CORR,Yes,Yes,RF,1.9654,2.5325,0.66
24,70_30,POSIT_CORR,Yes,No,RF,1.9654,2.5325,0.66
1,11_19,ALL,No,Yes,Eta,3.2648,3.6116,0.6466
2,11_19,ALL,No,No,Eta,3.2648,3.6116,0.6466
9,11_19,AD HOC,No,Yes,Eta,3.2648,3.6116,0.6466
10,11_19,AD HOC,No,No,Eta,3.2648,3.6116,0.6466
17,11_19,POSIT_CORR,No,Yes,Eta,3.2648,3.6116,0.6466
18,11_19,POSIT_CORR,No,No,Eta,3.2648,3.6116,0.6466
25,11_19,POSIT_CORR+SEM_PREV,No,Yes,Eta,3.2648,3.6116,0.6466
26,11_19,POSIT_CORR+SEM_PREV,No,No,Eta,3.2648,3.6116,0.6466
3,11_19,ALL,Yes,Yes,Eta,3.4276,3.7709,0.5237
4,11_19,ALL,Yes,No,Eta,3.4276,3.7709,0.5237
11,11_19,AD HOC,Yes,Yes,Eta,3.4276,3.7709,0.5237
12,11_19,AD HOC,Yes,No,Eta,3.4276,3.7709,0.5237
19,11_19,POSIT_CORR,Yes,Yes,Eta,3.4276,3.7709,0.5237
20,11_19,POSIT_CORR,Yes,No,Eta,3.4276,3.7709,0.5237
27,11_19,POSIT_CORR+SEM_PREV,Yes,Yes,Eta,3.4276,3.7709,0.5237
28,11_19,POSIT_CORR+SEM_PREV,Yes,No,Eta,3.4276,3.7709,0.5237
