-------------------------------------------------------
FEATURE IMPORTANCE - MLP Neural Network Classifier
-------------------------------------------------------
      Feature  Importance
     sem_prev    0.054545
 P90cl_Tx_Obs    0.041818
OC_Mod_Candid    0.040000
    Cl_Tx_Mod    0.010909
 P90cl_Tx_Mod    0.007273
       Tx_Mod    0.003636
      IOC_Mod    0.000000
         magv   -0.005455
    Cl_Tx_Obs   -0.027273
         ur2m   -0.040000
         tsfc   -0.041818
-------------------------------------------------------

