-------------------------------------------------------
FEATURE IMPORTANCE - MLP Neural Network Classifier
-------------------------------------------------------
      Feature  Importance
     sem_prev         0.0
         tsfc         0.0
         magv         0.0
         ur2m         0.0
       Tx_Mod         0.0
 P90cl_Tx_Mod         0.0
 P90cl_Tx_Obs         0.0
    Cl_Tx_Mod         0.0
    Cl_Tx_Obs         0.0
OC_Mod_Candid         0.0
      IOC_Mod         0.0
-------------------------------------------------------

